artist,title,key,song_url,artist_url
Imagine Dragons,Nothing Left To Say / Rocks,75361698,a000886c326c309822507ac533317b9aceae834c,01b36ca0f45f2f15117022a2754287a6ca1acdcc
Billie Eilish,ocean eyes,19538943,2213085e3d5611f116df5c3fa3e27086505977b3,bcf71477d890a736eb769dc5f8af4e7d28278824
Lil Nas X,Old Town Road - Remix,71290653,d94ec2ebe62fd52cf038760f57c251c145346bb2,12d5ab979779aa41e697ce823328d527e643e4cf
20syl,Ongoing Thing,36646598,57d9e905dee5fde54b6353f61b242d72419f50c4,7f878e01ac715e2b0d636b5372598a9b648e9aa9
Au/Ra,Panic Room,29956097,99e4d79bdacf4ffc5b3fb39f2106ea33de43b3df,786f6cf28cd6ee3da8c6bf16e6ed4eb37018b939
Vance Joy,Riptide,72144505,0dd45171d094ca8d374219054879662fe7982462,7d186c3a80955b82a8cc46fe86bdf305478629e8
Lorde,Royals,14919602,bc4e8f47f5aa5b0b9a4fe1a25dfbd3b688bbfec5,d25fc756cd04c8b3ea196b7c07c6d057685cc405
The Pharcyde,Runnin' - Instrumental,27018784,712854ef5a5e26aa1a12a1b72b750bb3137d2ec3,db124909dcc277881bf55ed159bd417d82e2ced1
Robin Schulz,Same - Original Mix,42369493,12ab3e121a3f64d3220b592a6aea4d27f13044fd,6a285d263fe18de0f32e54dbfc6356099dedb5f2
Travis Scott,SICKO MODE,46542111,1c3c01c64477b356e28a652b6447f4ef96689a71,fec51156ed94b7ee30fbd4c7fd29b4a840e7daec
Harry Styles,Sign of the Times,24251927,af237206f611b722f48620ece049aff3b8650e77,e27dfe02e013177159ab9e926f3fc50f1426a8ac
Billie Eilish,Six Feet Under,49799822,969a513d6ce51a0db0e457c5059426fd2d070800,bcf71477d890a736eb769dc5f8af4e7d28278824
Gramatik,Skylight,22928531,3757e4797697881e70d57f6cd42d25d9d803d9b0,6532697d47183c10750b51fe4b5e32943a96d4fd
AJ Mitchell,Slow Dance,45941605,23a45aa698c2ae20a755154c6459ea527f267efd,0c85b010db31754562ed02a585b362f9f7b4c2bb
NOTD,So Close,25393644,43f9160e3d3cef5812bb1a778d1c3d759ae8b29e,20eef23c4d2d3e4f159ac9a430d02fc81a106d2f
Gramatik,So Much for Love,20234609,0e09bde46d39adbb6afe38bcad022f05e5008812,6532697d47183c10750b51fe4b5e32943a96d4fd
AJR,Sober Up (feat. Rivers Cuomo),49242281,910be8acd0681e84bf2f4347d927ef5f3f9bf861,c3c913b76f3c7f6de6c464ac1ae357a412adf79f
Taylor Swift,Soon You’ll Get Better (feat. Dixie Chicks),54218852,bd4c233ba031821052021d78c63a87db2d45e931,62b33d12e2b9a033cf77585f6e3d4b2c6b3a63a1
Justin Bieber,Sorry,57241531,4b32ff10f00af6a41a9073aa55de37fed8620939,1b7682c463034f7cda95f6ac7a44385dd000422b
